Job Title,Location,Date,Link,Job Attributes,Job Description
Family Support Worker-Part Time,Lynn,Jun  4,https://boston.craigslist.org/nos/npo/d/lynn-family-support-worker-part-time/7135823104.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Family Support/Clerical Worker- Part Time (32 hours)

This position will provide day to day support to the Centerboard Family Resource Center and their clients. As part of Centerboard’s Family Resource Center all positions are responsible for leading some of the FRC's educational, counseling, recreational, financial literacy and other support programs offered.  The family support worker will provide direct support to families including information on services and educational resources. This position will ensure that the prescribed service flow for families is met or exceeded.  .
This is an exciting role as it is a brand new program and position. The startup and success of the Family Resource Center will need an individual who knows how to get a job done with creativity and resourcefulness.  If you are looking to utilize or expand your experience in the human services field to create a center that works with families and youth this is your opportunity to have a major impact on the opening and growth of a new program in the Lynn Community.

Required skills include the ability to prioritize tasks, communicate effectively/professionally, flexibility in a changing environment, creativity, ability to incorporate feedback, and strong organizational skills. 

An Associate’s Degree is preferred, some local travel and the ability to stand, sit and present information in a clear concise manner. The schedule is Mon 11am-5pm, Tues 11am-7pm, Wed 11pm-7pm, Thurs 11pm-5p Fri 9am-1pm.

If you enjoy working in a flexible environment and helping others please apply to the posting via the link below. Visit us at www.centerboard.org
https://workforcenow.adp.com/jobs/apply/posting.html?client=cboard
"
Awake Overnight Youth Counselor,Beverly,Jun  4,https://boston.craigslist.org/nos/npo/d/beverly-awake-overnight-youth-counselor/7135777648.html,"
compensation: $15.00 an hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


NFI Massachusetts Inc., a non-profit human services agency, is currently seeking an Overnight Youth Counselor for its Beverly Continuum Support program located in Beverly, MA. 

There will be a $1000 bonus upon 6 month anniversary.

Beverly Continuum Supports (BCS) in Beverly, MA provides individualized and comprehensive residential services to male and female youth age 12-18 and their families. Youth referred to the program are in need of temporary out-of-home placement to address a range of emotional and behavioral issues. The program offers 24 hour staffing that provides support and supervision. The highly structured milieu provides a safe and predictable context in which youth can stabilize behaviors, progress in treatment and develop new skills. 

We are seeking dedicated and qualified candidates with strong leadership skills to provide direct care to youth served within the program. The goal is to provide these youth support, mentoring, guidance and to demonstrate positive role modeling so they may elect healthier choices to and learn new skills to use upon their discharge from the program.

Status: Full time
Schedule: 3rd shift 11:00 pm-7:00 am.
Hours per week 30-40
Hourly rate: $15.00

New hire sign on bonus: $1000 at 6 month anniversary.

Job Requirements:

-Associate's or Bachelor's degree preferred in psychology, sociology or other related field of study preferred.
-Awake overnight experience preferred.
-Experience working with a similar population.
-Valid driver's license and a reliable vehicle is a must.

Please apply here at:
https://recruiting.ultipro.com/NOR1043NAFI/JobBoard/331fa188-0c5e-433a-b685-1bd95da427de/Opportunity/OpportunityDetail?opportunityId=408d3119-76c9-47d9-b0f0-9c1662d3b9f4 "
Relief Lead Residential Counselor,"Randolph, MA",Jun  4,https://boston.craigslist.org/sob/npo/d/randolph-relief-lead-residential/7135763962.html,"
compensation: $15 per/hr

employment type: part-time

non-profit organization

","

QR Code Link to This Post


  Relief Lead Residential Counselor  - Randolph, MA Work with us at Vinfen  "
Relief Lead Residential Counselor,"Randolph, MA",Jun  4,https://boston.craigslist.org/sob/npo/d/randolph-relief-lead-residential/7135763133.html,"
compensation: $15 per/hr

employment type: part-time

non-profit organization

","

QR Code Link to This Post


  Relief Lead Residential Counselor  - Randolph, MA Work with us at Vinfen  "
Residential Permanency Youth Counselors-     PRE-ILP,Lynn,Jun  4,https://boston.craigslist.org/gbs/npo/d/lynn-residential-permanency-youth/7135721407.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Pre-Independent Living Program- Lynn
Monday-Friday 8AM-5PM Full-Time (Male Candidate)

The Direct Care Staff with Centerboard's Youth Services Programs are an integral part of the residents' treatment team. All staff must be well versed in understanding, creating and maintaining a trauma-informed care and be amendable to function as a generalist in the daily care of clients and their environment. Direct Care Staff must become proficient in understanding and treating the behavioral and emotional deficits of at risk youth. They must provide safety and structure while understanding when and how to intervene and teach new, healthier responses to stress and anxiety.

*Applicants should have experience in a direct care or residential setting as well as working with youth or young 
adults in goal setting and personal development.
*Primary responsibilities include assisting residents with life skills, setting and achieving goals as well as maintaining a safe environment.
*Strong observational skills and the ability to document all aspects of resident's care and progress.
*Strong communication skills and working with minimal supervision is necessary.
*Additional duties include oversight of program residents and shift requirements.
*Applicants with residential experience or advocacy encouraged to apply.
*Centerboard offers competitive salaries and benefit packages.
*If you are looking for a flexible work environment and want to give back to youth in need, this job is for you.

Job requirements include a valid driver's license, a bachelor's degree or some college education preferred. MAP certification is required after 90 days of employment (Centerboard will assist with training & certification). Ability to pass CORI/DCF/SORI Background check. Must complete & pass 3 full days of training.

Interested and qualified applicants should apply through our website online application process by using the link below. Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
Awake Overnights-Teen Living/Parenting-Melrose,Melrose,Jun  4,https://boston.craigslist.org/nos/npo/d/melrose-awake-overnights-teen-living/7135715687.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
"Teen Parenting Program Spanish Speaking- Chelsea, Lynn, Melrose MA",Lynn,Jun  4,https://boston.craigslist.org/gbs/npo/d/lynn-teen-parenting-program-spanish/7135704700.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Lynn, MA - Teen Living/Parenting Program Family Advocate Opportunity
Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity
Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and Flexible Scheduling (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions: 
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions. 
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed. 
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources. 
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift. 
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups. 

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below. 

https://workforcenow.adp.com/jobs/apply/posting.html?client=cboard#

To learn more about Centerboard, please visit www.centerboard.org    "
Licensed Practical Nurse (LPN),North Andover,Jun  4,https://boston.craigslist.org/nwb/npo/d/north-andover-licensed-practical-nurse/7135621735.html,"
compensation: Great Pay Rates, flexible schedule options, and amazing Benefits!

employment type: employee's choice

","

QR Code Link to This Post


Additional $1 per hour increase awarded through July 4th!

*Vinfen is looking to hire a LPN in our East North Andover  location!* 

As a Licensed Practical Nurse (L.P.N.), you will participate in the comprehensive assessment of physical health of the people Vinfen serves. Your work will be in a clinically intensive program that is tailored to meet the needs of a unique specialized population who have brain injuries, intellectual and developmental disabilities, or psychiatric conditions, and complex health needs. In your role you will work together with the people we serve, their families, friends, employers, and other support staff to transform their lives.

L.P.N. duties include providing nursing care, administering medication under the Medication Administration Plan (MAP) guidelines, and assisting individuals to become more a part of their communities. You will employ rehabilitation values, principles and techniques, including skills training, to help individuals served overcome barriers and to live more independently.

Additionally, the L.P.N. will communicate any change in status to appropriate individuals, perform individual assessments with any change of status, and provide skilled nursing interventions as indicated..

Requirements

A high school diploma or equivalent is required
Prior experience working in a human services setting strongly preferred
1-2 years supervised practical experience, including internships, in a clinical or rehabilitation setting preferred.

All applicants must:

✓Current L.P.N. license.


✓Must have a current, valid, US drivers' license for at least one year and access to a reliable, fully insured vehicle

✓Be willing to transport clients.

✓Must be able to become CPR and First Aid certified within two weeks of hire and become MAP certified within 150 days of hire.


How to Apply

Please click on the link below to view schedule ,  pay, create an account,  complete application and upload current resume"
Community Health Worker,Chelmsford,Jun  3,https://boston.craigslist.org/nos/npo/d/chelmsford-community-health-worker/7135357970.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a dynamic, committed social services professional to work collaboratively with health providers to address the social needs of high risk pediatric patients and their families at a Harvard Vanguard Medical Associates site in Chelmsford. Seeking a creative problem-solver who can assess, educate, and support families in accessing community resources to improve health and quality of life.
POSITION DESCRIPTION
The CHW works under contract with our health provider partners to provide community resource coordination for patients who have complex medical and social needs. As part of a team with Nurse Care Managers, physicians and social workers, the CHW receives referrals and seeks out solutions to non-medical problems which impact health, including assistance with financial and insurance issues, transportation, behavioral health, in-home services, legal assistance, etc. The CHW meets with patients in their home, in the medical office or at other community locations to engage them and connect them to their primary care practice.
QUALIFICATIONS
 Bachelor's Degree in Social Work or related Human Services Field.
Previous experience in human services field, preferably in a community services or medical setting. 
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Braintree, Milton, Weymouth, Hingham, Randolph, Holbrook, Boston, Brookline, Dedham, Winthrop, Rockland, Chelsea, Canton, Cambridge, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Community Services, Medical, Community Health Worker, Health Care, Community Based Care
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1422018-143011 "
Community Discharge Specialist,Waltham,Jun  3,https://boston.craigslist.org/gbs/npo/d/waltham-community-discharge-specialist/7135357854.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a hard-working and compassionate individual to join its Interdisciplinary Team that assists residents of nursing facilities in returning to the community.
Position Description:
The Community Discharge Specialist help residents of nursing facilities identify barriers to discharge and works with the resident, family, and nursing facility staff to overcome obstacles and assist with discharge planning.  Barriers to address may include housing, medication management, mental health issues or in-home services. The Discharge Specialist also assesses needs and eligibility for government subsidized services, creates care plans and coordinates services.  
Our ideal candidate will be committed to the philosophy of self-determination and support a consumer's choice in where to receive services.
Qualifications:
Bachelor's Degree required.  Degree in Social Work, human services, nursing, psychology, sociology or related field preferred. Candidates with a degree in another discipline must demonstrate experience and/or strong interest in the field of human services via previous employment, internship, volunteer activity and/or additional studies.
Strong desire to provide support to seniors and individuals with disabilities who want to transition from a nursing facility.
One year of experience transitioning individuals from a nursing facility or long-stay hospital to community-based settings preferred.
Private, reliable car and current driver's license
Benefits:
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
Company Profile 
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.

For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1421975-143011 "
Nurse Manager,Waltham,Jun  3,https://boston.craigslist.org/gbs/npo/d/waltham-nurse-manager/7135357557.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Exciting opportunity for the unique professional who has great clinical skills and enjoys being a part of a multidisciplinary team.
POSITION DESCRIPTION
Springwell is seeking a Nurse Manager to oversee our Community Transitions Department. The position has a variety of responsibilities that will include:
Supervision of nurses and case managers who conduct assessments of individuals at nursing facilities and assist with long term care placement or returning to the community.
Ensuring compliance with program regulations and guidelines.
Evaluate program strengths and identify areas for improvement.
Involvement in multidisciplinary meetings within and outside of Springwell to provide clinical input into casework.
Outreach to community partners to provide education on the role of Springwell staff in discharge planning and to strengthen community relationships.
Staff training on program regulations and requirements.
Hands on tasks such as running and reviewing reports, and conducting record reviews to work towards continuous quality improvement.
QUALIFICATIONS
Our ideal candidate is organized and able to balance many competing projects, flexible and able to quickly switch priorities, believes in the importance of a multidisciplinary approach to consumer services, and is able to use data to make decisions which support recommendations about program growth and development.
Master's or Bachelor's degree in Nursing and three years' experience in Human Services in a direct relationship with individuals served required.
Valid Massachusetts RN license required.
Three years of full time equivalent experience as a Registered Nurse in a community setting required.
One years of supervisory, administrative or managerial experience preferred.
Familiarity with community services for elders and the Massachusetts aging network preferred.
Demonstrated leadership ability and the ability to work independently as well as part of a team.
Excellent verbal, written and computer skills.
A reliable car, current driver's license and safe driving record required.
BENEFITS
Monday through Friday work schedule/No Weekends or Holidays
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1421933-143011 "
"Registered Nurse, 70k/year",Waltham,Jun  3,https://boston.craigslist.org/gbs/npo/d/waltham-registered-nurse-70k-year/7135357386.html,"
compensation: $70k annually Salary

employment type: full-time

non-profit organization

telecommuting ok

","

QR Code Link to This Post


Are you a Registered Nurse looking for a lifestyle change? Be a part of an interdisciplinary team that assess individuals living in the community for available services.
Salary is $70k. Monday-Friday, 37.5 hours per week. No Nights, No Weekends, No Beeper.
POSITION DESCRIPTION
If you are a RN with at least 1 year of clinical experience who would like a job that has:
NO WEEKENDS, EVENINGS, NIGHTS, HOLIDAYS or BEEPERS
A supportive environment that celebrates success, focuses on lessons learned when things don't go quite as expected.
Generous paid time off that acknowledges you have a personal life
Then Springwell has a job for you. We are looking for a full-time Registered Nurse who will assess clients for services, determine clinical eligibility for programs and develop care plans. Our primary goal is to support individuals who receive services in the community so they can continue living in their own home.
QUALIFICATIONS 
Current Massachusetts license to practice as a Registered Nurse.

At least one year of clinical experience in either a community or long term care setting

A reliable car, current driver's license and safe driving record required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Registered Nurse, Nurse, RN, Nursing, Telecommuting, Remote, Telecommuter, Telecommute
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1421920-143011 "
Case Manager,Waltham,Jun  3,https://boston.craigslist.org/gbs/npo/d/waltham-case-manager/7135357176.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

telecommuting ok

","

QR Code Link to This Post


Springwell is seeking dedicated and compassionate Case Managers to join our Case Management and Housing Departments.
A Case Manager conducts comprehensive in-home assessments with elders, helps determine needs and eligibility for government subsidized services, creates care plans and coordinates services. Duties include data entry into computer database, communication and consultation with family members, other Springwell staff and community professionals. 
No weekends, evenings, nights or holidays.
QUALIFICATIONS
Bachelor's Degree required.
Previous experience in human services field preferred.
Working with computers, entering data and running reports.
A reliable car, current driver's license and safe driving record required.
Russian or Armenian speaking preferred but not required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Telecommuting, Remote, Telecommuter, Telecommute, Council on Aging, Program Coordinator, Case Worker
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1421911-143011 "
Day Program Direct Worker,Medford,Jun  3,https://boston.craigslist.org/gbs/npo/d/medford-day-program-direct-worker/7135270773.html,"
compensation: $13.80 per hour up to $15.55 per hour

employment type: full-time

","

QR Code Link to This Post


COME WORK FOR A PREMIER AGENCY THAT VALUES ALL TEAM LEVELS
GREAT OPPORTUNITY TO GET OVERTIME AND HAVE A FLEXIBLE SCHEDULE THAT WORKS FOR YOU!!
GENERAL DESCRIPTION:
Provides personal care and daily living assistance to individuals in our Day Program. This is carried out with respect and dignity and in accordance with Walnut Street Inc.(WSC) policies and procedures.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
Direct Support Skills
•	Follow age and population specific recommendations. Understands and applies competencies specific to the general characteristics of each age group and specific population served
•	Activities of Daily Living Assists individuals with Activities of Daily living which includes but is not limited to; personal hygiene/self-care tasks, dressing, preparing meals, and feeding individuals. Assists individuals with ambulating, transferring, and repositioning.
•	Provides therapeutic environment. Provides supervision to insure safety and well- being of individuals. . Provides supports that promote independence through skill building programs. Encourages participation and is helpful, supportive and respectful of differences with regards to unique needs, age, gender and culture of the individual being supported.
•	Records and documents ADL care provided throughout the day for each individual served.
•	Health Maintenance. Assists individuals to participate in health related activities according to WSC and/or DDS policy

We are a union shop and pride ourselves with the best team in the industry. We offer flexible schedules great starting pay and great benefits
MUST HAVE VALID DRIVERS LICENSE AND BE ABLE TO PASS CORI AND FINGERPRINTING
Job Types: Full-time, Part-time
Salary: $13.80 to $15.55 /hour 
Job Types: Full-time, Part-time
Salary: $13.80 to $15.55 /hour
Hours: Mon-Fri, 8:45a-3:15p
"
